acno,sex,brth_dt,age,exec_dt,exec_amt,cur_bal,ovrd_dvcd,,CB,SP,R,PI,NPML,PIML,,연체금액
0037201901226045,M,19840131, 38 ,20200426," 5,000,000 "," 10,956,822 ",0,,3,3,2,5,1,3,,0
0037201901131278,M,19740801, 48 ,20191102," 20,000,000 "," 29,325,115 ",0,,3,4,1,1,3,4,,0
0037202001002046,M,19781018, 44 ,20200525," 45,000,000 "," 28,413,513 ",0,,3,5,4,4,4,4,,0
0037201901126502,M,19630213, 59 ,20210413," 50,000,000 "," 14,916,425 ",0,,4,4,1,4,4,3,,0
0037202001277827,M,19941006, 28 ,20201223," 3,000,000 "," 7,297,346 ",0,,3,2,1,2,1,3,,0
0037202001031791,F,19641120, 58 ,20200907," 1,500,000 "," 1,087,753 ",0,,2,3,1,4,1,4,,0
0037201901091096,M,19831030, 39 ,20210218," 25,000,000 "," 15,030,679 ",0,,3,5,1,4,3,2,,0
0037201901131932,M,19620901, 60 ,20190523," 45,000,000 "," 14,350,688 ",0,,2,2,3,4,4,3,,0
0037202001307277,M,19910212, 31 ,20190107," 25,000,000 "," 13,511,274 ",1,,7,8,8,8,9,8,,13511274
0037202001092119,M,19650808, 57 ,20190108," 1,500,000 "," 21,005,145 ",0,,1,3,5,4,1,4,,0
0037202001202877,M,19820622, 40 ,20211002," 30,000,000 "," 9,030,435 ",0,,5,5,1,1,3,2,,0
0037201901111847,F,19620220, 60 ,20190208," 30,000,000 "," 7,347,197 ",0,,2,3,3,2,1,5,,0
0037202001033392,M,19760103, 46 ,20200823," 30,000,000 "," 17,822,421 ",0,,4,3,2,4,5,2,,0
0037201901134676,M,19750427, 47 ,20200523," 30,000,000 "," 3,152,280 ",0,,4,4,3,1,5,5,,0
0037202001140424,M,19651225, 57 ,20190106," 1,500,000 "," 22,848,703 ",0,,3,4,4,2,3,2,,0
0037201901107875,M,19870621, 35 ,20200106," 30,000,000 "," 3,045,036 ",0,,4,5,3,3,4,2,,0
0037201901101613,F,19540108, 68 ,20190609," 40,000,000 "," 2,348,801 ",0,,4,3,5,3,2,2,,0
0037201901139807,M,19910708, 31 ,20210305," 45,000,000 "," 2,514,550 ",0,,1,1,4,1,2,2,,0
0037201901091923,M,19590312, 63 ,20190713," 5,000,000 "," 13,152,145 ",0,,5,3,5,4,5,1,,0
0037201901482301,F,19640305, 58 ,20210528," 45,000,000 "," 29,213,136 ",0,,3,5,3,5,5,4,,0
0037201901436673,M,19671104, 55 ,20210904," 10,000,000 "," 2,921,051 ",0,,1,5,4,3,5,2,,0
0037201901308494,F,19651110, 57 ,20210907," 10,000,000 "," 13,369,237 ",0,,4,2,2,1,3,3,,0
0037201901117795,M,19890629, 33 ,20201012," 45,000,000 "," 20,584,439 ",0,,2,1,3,1,5,2,,0
0037201901430900,F,19840518, 38 ,20210320," 10,000,000 "," 17,114,018 ",0,,4,2,2,4,1,5,,0
0037202001122528,M,19850306, 37 ,20200215," 3,000,000 "," 12,666,906 ",0,,3,5,1,2,5,2,,0
0037202001144138,F,19730305, 49 ,20190121," 45,000,000 "," 6,215,251 ",0,,1,5,3,3,3,2,,0
0037201901099677,M,19710605, 51 ,20190513," 50,000,000 "," 12,149,565 ",0,,1,4,4,2,3,1,,0
0037201901142923,M,19870121, 35 ,20191119," 5,000,000 "," 21,429,435 ",0,,3,5,2,2,5,2,,0
0037201901408807,M,19620106, 60 ,20201114," 20,000,000 "," 26,236,633 ",0,,5,5,1,3,2,3,,0
0037202001155645,M,19790902, 43 ,20210228," 3,000,000 "," 23,649,103 ",0,,1,2,2,2,5,3,,0
0037201901213494,M,19680102, 54 ,20201208," 1,500,000 "," 11,420,389 ",0,,3,3,3,2,1,3,,0
0037201901119749,M,19810114, 41 ,20211118," 3,000,000 "," 19,656,211 ",0,,5,5,3,1,4,4,,0
0037201901126599,F,19630727, 59 ,20210831," 25,000,000 "," 8,301,260 ",0,,5,3,2,1,4,4,,0
0037202001007979,M,19810127, 41 ,20190208," 45,000,000 "," 20,532,045 ",0,,4,4,5,2,2,4,,0
0037201901355031,F,19910531, 31 ,20190614," 3,000,000 "," 22,083,690 ",0,,1,3,4,2,5,3,,0
0037202001006125,F,19970817, 25 ,20210505," 10,000,000 "," 21,764,278 ",0,,2,1,2,2,5,5,,0
0037202001237540,F,19780315, 44 ,20211104," 20,000,000 "," 27,324,240 ",0,,5,1,2,2,5,2,,0
0037202001105945,M,19821219, 40 ,20190407," 40,000,000 "," 2,280,298 ",0,,5,3,5,1,2,1,,0
0037201901414599,M,19790519, 43 ,20210515," 20,000,000 "," 16,073,494 ",0,,1,5,3,5,2,3,,0
0037201901166088,M,19700607, 52 ,20210329," 5,000,000 "," 7,055,937 ",0,,3,4,5,3,4,3,,0
0037201901098099,M,19790704, 43 ,20210305," 1,500,000 "," 16,905,013 ",1,,9,10,9,6,7,10,,16905013
0037202001155992,F,19710317, 51 ,20190302," 50,000,000 "," 9,835,195 ",0,,1,1,4,1,1,1,,0
0037201901425450,F,19900722, 32 ,20200629," 10,000,000 "," 20,533,520 ",0,,3,3,4,5,1,1,,0
0037202001312545,F,19590930, 63 ,20210723," 20,000,000 "," 14,198,694 ",0,,3,1,2,4,2,5,,0
0037201901258372,M,19811205, 41 ,20200111," 40,000,000 "," 11,471,580 ",0,,3,3,1,5,4,2,,0
0037202001261429,M,19781207, 44 ,20200616," 40,000,000 "," 18,219,997 ",0,,4,4,2,2,3,5,,0
0037201901097100,F,19901212, 32 ,20211224," 3,000,000 "," 28,158,185 ",0,,3,2,5,1,4,1,,0
0037201901140191,M,19941025, 28 ,20200929," 50,000,000 "," 28,555,889 ",0,,5,1,4,2,3,4,,0
0037201901200785,M,19600621, 62 ,20201207," 3,000,000 "," 16,134,541 ",0,,3,3,4,1,2,1,,0
0037201901130661,F,19860928, 36 ,20211110," 20,000,000 "," 5,915,362 ",0,,4,5,4,1,4,5,,0
0037201901277233,F,19870930, 35 ,20200410," 3,000,000 "," 17,453,707 ",0,,5,1,4,4,4,3,,0
0037201901275218,M,19540806, 68 ,20210307," 10,000,000 "," 15,872,549 ",0,,2,5,2,2,4,5,,0
0037201901142272,M,19510624, 71 ,20200414," 5,000,000 "," 12,152,671 ",0,,3,3,3,4,4,1,,0
0037202001101467,M,19870605, 35 ,20200711," 30,000,000 "," 20,192,620 ",0,,2,5,4,2,5,4,,0
0037201901099713,M,19810922, 41 ,20200716," 50,000,000 "," 9,293,900 ",0,,5,4,4,3,5,2,,0
0037202001056074,M,19740305, 48 ,20190527," 10,000,000 "," 6,243,004 ",0,,1,5,5,2,5,4,,0
0037201901151069,M,19660924, 56 ,20211010," 3,000,000 "," 28,115,026 ",0,,3,4,1,5,2,3,,0
0037201901287808,M,19810629, 41 ,20211004," 30,000,000 "," 24,743,222 ",0,,1,3,3,1,5,2,,0
0037201901460712,M,19710612, 51 ,20200830," 40,000,000 "," 24,191,338 ",0,,4,4,3,2,2,2,,0
0037202001127934,M,19860114, 36 ,20190228," 45,000,000 "," 13,744,406 ",0,,3,3,5,2,3,2,,0
0037201901326774,F,19690210, 53 ,20210706," 40,000,000 "," 1,436,044 ",0,,2,5,1,3,2,5,,0
0037202001182661,F,19550628, 67 ,20210819," 45,000,000 "," 12,805,091 ",0,,3,4,1,3,4,4,,0
0037201901163892,M,19800301, 42 ,20200804," 25,000,000 "," 20,561,804 ",0,,1,3,4,5,5,5,,0
0037202001121985,M,19760223, 46 ,20200502," 20,000,000 "," 25,832,377 ",0,,4,3,5,5,1,5,,0
0037202001311487,M,19801006, 42 ,20200412," 20,000,000 "," 29,658,506 ",0,,3,5,4,5,5,1,,0
0037201901120262,F,19730810, 49 ,20191007," 5,000,000 "," 29,704,857 ",0,,2,2,3,4,4,3,,0
0037202001104558,M,19790710, 43 ,20210918," 10,000,000 "," 15,104,772 ",0,,5,1,5,5,2,2,,0
0037201901090260,F,19810429, 41 ,20210626," 5,000,000 "," 25,377,963 ",0,,2,5,1,4,5,1,,0
0037201901108221,F,19851127, 37 ,20210725," 3,000,000 "," 17,363,140 ",0,,3,4,2,1,2,1,,0
0037201901337009,M,19570825, 65 ,20211118," 40,000,000 "," 23,778,613 ",0,,1,2,4,2,2,3,,0
0037202001106827,F,19760927, 46 ,20200630," 10,000,000 "," 22,246,518 ",0,,5,3,4,1,5,4,,0
0037201901366597,M,19720705, 50 ,20210730," 1,500,000 "," 9,732,638 ",1,,9,10,8,6,9,9,,9732638
0037201901467827,F,19610306, 61 ,20200806," 30,000,000 "," 7,792,625 ",0,,3,4,5,5,3,1,,0
0037202001292409,M,19630801, 59 ,20190215," 50,000,000 "," 23,251,893 ",0,,3,3,5,2,3,2,,0
0037201901366300,M,19700108, 52 ,20190611," 3,000,000 "," 14,788,767 ",0,,4,2,5,1,2,4,,0
0037201901138405,F,19720718, 50 ,20200227," 20,000,000 "," 23,048,127 ",0,,2,3,5,4,2,5,,0
0037202001122601,M,19480325, 74 ,20190517," 45,000,000 "," 17,542,122 ",0,,5,2,4,5,4,1,,0
0037201901145656,F,19820215, 40 ,20201211," 20,000,000 "," 14,458,898 ",0,,2,2,5,1,5,5,,0
0037201901156536,M,19960408, 26 ,20200227," 25,000,000 "," 23,998,906 ",0,,1,1,4,1,1,4,,0
0037201901473235,M,19830715, 39 ,20211125," 1,500,000 "," 18,496,473 ",0,,5,5,5,4,4,3,,0
0037202001103822,F,19650526, 57 ,20210809," 3,000,000 "," 7,512,117 ",0,,2,4,5,4,3,4,,0
0037201901410661,M,19710218, 51 ,20190920," 10,000,000 "," 19,413,439 ",0,,3,4,5,3,3,4,,0
0037202001109316,F,19911117, 31 ,20211015," 45,000,000 "," 3,779,733 ",0,,1,1,5,4,1,2,,0
0037201901139333,M,19851103, 37 ,20200203," 20,000,000 "," 29,036,314 ",0,,1,1,2,4,4,3,,0
0037201901245520,M,19731127, 49 ,20210213," 20,000,000 "," 16,454,449 ",0,,4,2,5,3,4,1,,0
0037202001198126,M,19611213, 61 ,20210925," 20,000,000 "," 23,123,374 ",0,,3,5,2,4,5,2,,0
0037201901466887,F,19910720, 31 ,20211115," 40,000,000 "," 4,410,863 ",0,,1,5,4,5,5,4,,0
0037201901407887,F,19700124, 52 ,20200813," 10,000,000 "," 10,644,841 ",0,,2,2,2,5,1,1,,0
0037201901443975,M,19890429, 33 ,20211014," 30,000,000 "," 1,830,423 ",0,,4,1,2,2,4,5,,0
0037201901317589,M,19731114, 49 ,20210703," 1,500,000 "," 21,104,319 ",0,,4,4,5,2,4,1,,0
0037201901122448,M,19780525, 44 ,20201102," 10,000,000 "," 16,839,597 ",0,,3,1,5,2,2,4,,0
0037201901373683,F,19830113, 39 ,20191125," 50,000,000 "," 21,406,549 ",0,,4,3,4,2,3,2,,0
0037201901477399,M,19711205, 51 ,20210812," 50,000,000 "," 1,694,997 ",0,,4,1,4,3,2,4,,0
0037201901128735,M,19720402, 50 ,20210527," 1,500,000 "," 16,380,585 ",0,,5,2,5,1,2,5,,0
0037202001207786,M,19711225, 51 ,20191218," 40,000,000 "," 26,219,850 ",0,,3,5,1,3,3,3,,0
0037201901359059,M,19730228, 49 ,20201228," 25,000,000 "," 8,697,086 ",0,,2,4,2,1,1,1,,0
0037201901468416,F,19810228, 41 ,20200203," 3,000,000 "," 24,111,858 ",0,,5,3,2,5,5,5,,0
0037202001166549,M,19661005, 56 ,20200218," 3,000,000 "," 3,095,971 ",0,,5,1,4,3,2,4,,0
0037201901126593,M,19930114, 29 ,20200731," 5,000,000 "," 24,092,717 ",0,,2,3,4,1,5,1,,0
0037201901307309,M,19740130, 48 ,20211121," 3,000,000 "," 16,500,832 ",0,,1,4,5,5,3,1,,0
0037201901120994,F,19711224, 51 ,20191118," 30,000,000 "," 8,759,028 ",0,,4,3,4,4,3,3,,0
0037201901122670,F,19750121, 47 ,20200224," 40,000,000 "," 12,358,768 ",0,,4,4,2,3,4,3,,0
0037201901304082,M,19751111, 47 ,20200503," 1,500,000 "," 24,712,637 ",0,,2,3,1,2,1,2,,0
0037201901444973,F,19851227, 37 ,20190419," 3,000,000 "," 6,833,608 ",0,,4,4,4,2,4,2,,0
0037202001149917,M,19691225, 53 ,20200208," 3,000,000 "," 8,734,840 ",0,,3,1,1,5,1,3,,0
0037201901412872,F,19621123, 60 ,20200212," 45,000,000 "," 29,482,823 ",0,,4,2,4,2,3,3,,0
0037201901383087,M,19701024, 52 ,20210101," 20,000,000 "," 19,090,038 ",0,,1,4,2,4,5,4,,0
0037201901141811,M,19800729, 42 ,20200507," 25,000,000 "," 13,018,434 ",0,,1,3,2,3,4,4,,0
0037201901238678,M,19920315, 30 ,20211025," 3,000,000 "," 12,737,029 ",0,,1,2,1,5,4,5,,0
0037202001118926,M,19730812, 49 ,20201217," 50,000,000 "," 17,208,368 ",0,,4,4,2,1,5,3,,0
0037201901222791,M,19850901, 37 ,20210418," 1,500,000 "," 5,899,448 ",0,,4,5,2,3,2,5,,0
0037202001271796,F,19620117, 60 ,20201224," 10,000,000 "," 26,442,636 ",0,,3,2,4,5,2,4,,0
0037201901406252,M,19440210, 78 ,20211126," 10,000,000 "," 13,674,393 ",0,,3,3,5,4,2,3,,0
0037201901114649,M,19650802, 57 ,20190116," 40,000,000 "," 24,168,220 ",0,,5,3,3,3,1,3,,0
0037201901213285,M,19740121, 48 ,20210421," 30,000,000 "," 28,451,460 ",0,,3,4,2,4,1,2,,0
0037201901130373,M,19650520, 57 ,20210609," 1,500,000 "," 9,124,953 ",0,,4,5,5,5,4,5,,0
0037202001264096,F,19780215, 44 ,20210901," 3,000,000 "," 23,764,876 ",0,,1,3,1,3,3,3,,0
0037201901254681,F,19900915, 32 ,20190520," 10,000,000 "," 29,561,704 ",1,,8,10,7,8,6,10,,29561704
0037201901335570,M,19690524, 53 ,20190417," 3,000,000 "," 13,692,675 ",0,,5,3,3,1,2,5,,0
0037202001205033,F,19751101, 47 ,20201102," 45,000,000 "," 10,167,394 ",0,,3,4,4,1,2,1,,0
0037201901306078,M,19670101, 55 ,20190705," 1,500,000 "," 12,716,214 ",0,,4,5,1,3,2,2,,0
0037201901188516,M,19640826, 58 ,20201216," 45,000,000 "," 2,324,201 ",0,,3,2,1,3,5,1,,0
0037202001256113,F,19720218, 50 ,20190715," 40,000,000 "," 25,260,604 ",0,,4,3,4,5,1,1,,0
0037201901355767,M,19660511, 56 ,20200704," 40,000,000 "," 2,875,861 ",0,,1,5,2,4,5,2,,0
0037201901151190,M,19571019, 65 ,20200110," 1,500,000 "," 7,907,354 ",0,,3,4,4,3,1,4,,0
0037201901116497,M,19810603, 41 ,20191217," 30,000,000 "," 2,296,831 ",0,,2,1,4,5,3,1,,0
0037201901197440,M,19710225, 51 ,20210701," 50,000,000 "," 25,089,412 ",0,,4,5,1,1,1,5,,0
0037201901095332,F,19720625, 50 ,20200216," 1,500,000 "," 8,770,461 ",0,,2,4,5,4,2,5,,0
0037201901193603,F,19970530, 25 ,20211009," 10,000,000 "," 29,693,698 ",0,,1,3,1,1,2,4,,0
0037201901176052,M,19800629, 42 ,20201012," 45,000,000 "," 10,219,133 ",0,,3,4,1,4,4,1,,0
0037201901198395,M,19691211, 53 ,20210330," 50,000,000 "," 26,742,133 ",0,,1,5,4,1,4,1,,0
0037202001293630,M,19881007, 34 ,20210531," 25,000,000 "," 10,940,349 ",0,,1,5,3,5,1,1,,0
0037202001028506,F,19710502, 51 ,20210107," 1,500,000 "," 20,252,375 ",0,,2,2,5,2,5,3,,0
0037201901144718,F,19710411, 51 ,20211008," 20,000,000 "," 4,749,568 ",0,,1,5,2,2,4,2,,0
0037201901093636,F,19830607, 39 ,20200527," 25,000,000 "," 4,728,319 ",0,,5,4,1,4,1,5,,0
0037201901189512,F,19910126, 31 ,20190621," 3,000,000 "," 22,292,473 ",0,,1,2,3,1,1,5,,0
0037201901106262,M,19650223, 57 ,20201117," 50,000,000 "," 13,948,790 ",0,,5,2,5,5,2,1,,0
0037201901104956,M,19730802, 49 ,20200709," 5,000,000 "," 22,710,364 ",0,,1,3,2,1,1,3,,0
0037201901369574,M,19870930, 35 ,20191126," 30,000,000 "," 24,667,368 ",0,,3,3,5,1,5,4,,0
0037201901140505,M,19710615, 51 ,20200816," 45,000,000 "," 23,100,854 ",0,,2,1,3,2,3,3,,0
0037201901168212,F,19801209, 42 ,20200127," 45,000,000 "," 4,185,096 ",0,,4,5,2,1,2,1,,0
0037202001118607,M,19700603, 52 ,20200330," 20,000,000 "," 8,360,825 ",0,,1,5,3,5,1,2,,0
0037201901369224,M,19530317, 69 ,20190906," 25,000,000 "," 26,895,267 ",1,,7,8,10,10,7,9,,26895267
0037202001205735,M,19701130, 52 ,20200120," 45,000,000 "," 15,961,403 ",0,,1,4,1,4,5,1,,0
0037201901147632,M,19630120, 59 ,20200321," 45,000,000 "," 19,210,247 ",0,,5,2,5,2,4,5,,0
0037201901256388,M,19900311, 32 ,20190423," 50,000,000 "," 25,623,590 ",0,,4,5,1,2,1,4,,0
0037201901174837,M,19681222, 54 ,20190521," 40,000,000 "," 28,614,878 ",0,,1,3,4,5,1,2,,0
0037201901319363,M,19560207, 66 ,20210329," 40,000,000 "," 21,895,188 ",0,,4,3,4,2,2,5,,0
0037201901135492,M,19670907, 55 ,20201225," 20,000,000 "," 2,494,879 ",0,,2,4,5,1,2,1,,0
0037201901359496,M,19550929, 67 ,20190918," 25,000,000 "," 5,001,202 ",0,,1,3,4,1,5,2,,0
0037202001124385,M,19461221, 76 ,20210603," 3,000,000 "," 28,327,829 ",0,,2,4,2,4,5,3,,0
0037202001256398,M,19721204, 50 ,20201210," 45,000,000 "," 15,354,516 ",0,,5,5,5,3,1,5,,0
0037201901180602,M,19941112, 28 ,20190414," 1,500,000 "," 18,605,371 ",1,,6,6,6,8,6,6,,18605371
0037202001196792,M,19720517, 50 ,20211130," 40,000,000 "," 20,088,521 ",0,,4,3,4,5,2,3,,0
0037202001110438,M,19910414, 31 ,20190706," 3,000,000 "," 18,556,290 ",0,,3,1,3,2,3,5,,0
0037202001044116,M,19700226, 52 ,20210309," 45,000,000 "," 29,306,857 ",0,,2,1,4,5,2,5,,0
0037201901175856,F,19790402, 43 ,20200210," 50,000,000 "," 28,325,421 ",0,,1,4,2,1,5,5,,0
0037201901269472,F,19820126, 40 ,20190124," 40,000,000 "," 8,000,329 ",0,,4,2,2,3,4,3,,0
0037202001218651,M,19670817, 55 ,20190523," 20,000,000 "," 11,723,491 ",0,,2,4,4,1,5,5,,0
0037201901170146,M,19700526, 52 ,20210427," 30,000,000 "," 15,677,553 ",0,,3,1,5,5,3,3,,0
0037202001089387,M,19670807, 55 ,20210622," 30,000,000 "," 12,841,479 ",0,,2,3,1,3,4,4,,0
0037201901266818,M,19590302, 63 ,20210302," 1,500,000 "," 8,271,064 ",0,,3,1,3,3,4,2,,0
0037201901229751,M,19561018, 66 ,20190908," 1,500,000 "," 20,658,697 ",0,,1,5,4,2,4,5,,0
0037201901265006,F,19721027, 50 ,20211002," 45,000,000 "," 27,445,361 ",0,,4,5,2,5,4,2,,0
0037202001046544,M,19610730, 61 ,20200613," 1,500,000 "," 10,436,070 ",0,,2,2,3,5,4,5,,0
0037201901160382,M,19681228, 54 ,20201216," 3,000,000 "," 10,106,832 ",0,,5,5,5,5,5,4,,0
0037201901092507,M,19740528, 48 ,20191020," 1,500,000 "," 8,883,034 ",0,,4,3,5,3,3,2,,0
0037202001201190,F,19970126, 25 ,20200926," 25,000,000 "," 5,389,326 ",0,,2,2,2,5,4,3,,0
0037202001059407,M,19630802, 59 ,20191129," 3,000,000 "," 10,796,325 ",0,,1,2,4,3,1,4,,0
0037202001103091,M,19880115, 34 ,20200821," 3,000,000 "," 5,777,863 ",0,,1,1,1,3,3,3,,0
0037201901139776,F,19770723, 45 ,20210605," 30,000,000 "," 28,903,109 ",0,,2,3,4,5,3,3,,0
0037201901131578,F,19750720, 47 ,20191222," 25,000,000 "," 10,675,169 ",0,,3,3,1,4,1,2,,0
0037201901488497,F,19670925, 55 ,20210727," 40,000,000 "," 11,605,931 ",0,,5,4,5,1,3,5,,0
0037202001197121,F,19580209, 64 ,20190610," 45,000,000 "," 23,965,998 ",0,,4,1,2,5,1,2,,0
0037202001147360,F,19730320, 49 ,20200723," 5,000,000 "," 23,124,687 ",0,,4,3,3,1,5,1,,0
0037202001311316,M,19810912, 41 ,20200901," 40,000,000 "," 21,763,857 ",0,,4,3,5,5,2,4,,0
